,character1,star1,star_id1,character2,star2,star_id2,age_gap,genders,question,score
48,The Big,David Huddleston,1232,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",is the father of,0.04618799686431885
49,Bunny Lebowski,Tara Reid,1234,"Jeffrey ""The Dude",Jeff Bridges,1229,26,"[1, 2]",is the father of,0.011473972350358963
50,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",is the father of,0.000619790400378406
51,Jackie Treehorn,Ben Gazzara,856,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",is the father of,0.12568193674087524
52,the Malibu Police Chief,Leon Russom,169920,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,8,"[2, 2]",is the father of,4.912930671707727e-05
53,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",is the mother of,0.0843605175614357
54,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",is the mother of,0.00014701401232741773
55,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",is the mother of,0.005983238108456135
56,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",is the mother of,0.00018329473095946014
57,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",is the mother of,0.0002387009735684842
58,the Malibu Police Chief,Leon Russom,169920,Jackie Treehorn,Ben Gazzara,856,11,"[2, 2]",is the mother of,1.6805133782327175e-05
59,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",kisses,0.005193002056330442
60,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",kisses,3.7635112676071e-05
61,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",kisses,1.1257803635089658e-05
62,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",kisses,7.528782589361072e-05
63,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",kisses,0.0005288832471705973
64,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",kisses,0.00017378314805682749
65,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",kisses,0.0007562469691038132
66,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",kisses,1.0346696399210487e-05
67,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",kisses,1.0259117289024289e-06
68,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",sleeps with,0.03772883862257004
69,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",sleeps with,0.0007884657243266702
70,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",sleeps with,0.0002512288047000766
71,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",sleeps with,0.006769146770238876
72,Brandt,Philip Seymour Hoffman,1233,Bunny,Tara Reid,1234,8,"[2, 1]",sleeps with,4.356239514891058e-06
73,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",sleeps with,0.007752189412713051
74,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",sleeps with,0.001032311120070517
75,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",sleeps with,0.015195077285170555
76,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",sleeps with,0.00013632660557050258
77,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",sleeps with,1.5893361705821007e-05
78,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",goes on a date with,0.377450168132782
79,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",goes on a date with,0.05867386609315872
80,Brandt,Philip Seymour Hoffman,1233,Bunny,Tara Reid,1234,8,"[2, 1]",goes on a date with,0.0002741265925578773
81,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",goes on a date with,0.351595014333725
82,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",goes on a date with,0.025959165766835213
83,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",goes on a date with,0.166961207985878
84,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",goes on a date with,0.001701359637081623
85,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",goes on a date with,0.003151367185637355
86,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",has sex with,0.18246714770793915
87,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",has sex with,0.001056963694281876
88,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",has sex with,0.00022489242837764323
89,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",has sex with,0.01330857165157795
90,Brandt,Philip Seymour Hoffman,1233,Dude,Jeff Bridges,1229,18,"[2, 2]",has sex with,7.742261004750617e-06
91,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",has sex with,0.025396671146154404
92,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",has sex with,0.0018126660725101829
93,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",has sex with,0.014712189324200153
94,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",has sex with,9.594920265953988e-05
95,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",has sex with,9.904137550620362e-05
96,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",marries,0.09065522998571396
97,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",marries,0.0002330657298443839
98,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",marries,0.0002634892298374325
99,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",marries,0.00172249018214643
100,Brandt,Philip Seymour Hoffman,1233,Dude,Jeff Bridges,1229,18,"[2, 2]",marries,5.408514311966428e-07
101,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",marries,0.003275779541581869
102,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",marries,0.0015247873961925507
103,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",marries,0.0006964606000110507
104,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",marries,0.007348864804953337
105,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",marries,0.0002228773373644799
106,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",marries,3.914467743015848e-05
107,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is in love with,0.15468235313892365
108,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",is in love with,6.247730925679207e-05
109,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is in love with,0.0008234689012169838
110,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",is in love with,0.0004399031458888203
111,Brandt,Philip Seymour Hoffman,1233,Bunny,Tara Reid,1234,8,"[2, 1]",is in love with,3.2119557999976678e-06
112,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",is in love with,0.00987281370908022
113,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is in love with,0.0034112809225916862
114,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",is in love with,0.050171736627817154
115,Treehorn's thugs,Mark Pellegrino,1236,Maude,Julianne Moore,1231,5,"[2, 1]",is in love with,0.0003852371301036328
116,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is in love with,0.0009232991724275053
117,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is in couple with,0.5566124320030212
118,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",is in couple with,0.5156876444816589
119,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is in couple with,0.05855179578065872
120,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",is in couple with,0.3632311224937439
121,Brandt,Philip Seymour Hoffman,1233,Bunny,Tara Reid,1234,8,"[2, 1]",is in couple with,0.0012712294701486826
122,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",is in couple with,0.2456556260585785
123,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is in couple with,0.021196063607931137
124,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",is in couple with,0.2134191244840622
125,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",is in couple with,0.0036462624557316303
126,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is in couple with,0.0013800839660689235
127,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",is the father of,0.26199039816856384
128,Donny Kerabatsos,Steve Buscemi,884,Walter Sobchak,John Goodman,1230,5,"[2, 2]",is the father of,0.16951194405555725
129,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is the mother of,0.23121881484985352
130,Walter Sobchak,John Goodman,1230,Donny Kerabatsos,Steve Buscemi,884,5,"[2, 2]",is the mother of,0.008033312857151031
131,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the mother of,0.11417538672685623
132,Donny Kerabatsos,Steve Buscemi,884,Bunny,Tara Reid,1234,18,"[2, 1]",is the mother of,0.006955097895115614
133,Brandt,Philip Seymour Hoffman,1233,Bunny,Tara Reid,1234,8,"[2, 1]",is the mother of,0.003969315905123949
134,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",is the mother of,0.13078555464744568
135,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is the mother of,0.015592058189213276
136,Uli Kunkel/Karl Hungus,Flea,1237,Bunny,Tara Reid,1234,13,"[2, 1]",is the mother of,0.3080085813999176
137,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",is the mother of,0.00459298025816679
138,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is the mother of,0.02957209013402462
139,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",kisses,0.000625342596322298
140,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",kisses,0.038306139409542084
141,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",kisses,5.4911170082050376e-06
142,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",kisses,0.0010339015861973166
143,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",kisses,1.9291315766167827e-05
144,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",kisses,0.00011549380724318326
145,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",kisses,8.603607420809567e-05
146,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",sleeps with,0.001772899879142642
147,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",sleeps with,0.11454718559980392
148,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",sleeps with,2.4886821847758256e-05
149,The Big,David Huddleston,1232,The Dude,Jeff Bridges,1229,19,"[2, 2]",sleeps with,0.0015153740532696247
150,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",sleeps with,0.00017960320110432804
151,The Stranger,Sam Elliott,16431,"Bunny ""kidnapped herself"", Walter",Tara Reid,1234,31,"[2, 1]",sleeps with,0.00032246491173282266
152,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",sleeps with,0.00026417424669489264
153,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",goes on a date with,0.04288312420248985
154,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",goes on a date with,0.6351117491722107
155,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",goes on a date with,0.000585694273468107
156,The Stranger,Sam Elliott,16431,The Dude,Jeff Bridges,1229,5,"[2, 2]",goes on a date with,0.005793997086584568
157,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",goes on a date with,0.0026932330802083015
158,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",has sex with,0.01336701214313507
159,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",has sex with,0.22679319977760315
160,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",has sex with,3.28302412526682e-05
161,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",has sex with,0.00034028381924144924
162,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",has sex with,0.0011595682008191943
163,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",marries,0.03207670897245407
164,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",marries,0.02826990745961666
165,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",marries,1.0825004210346378e-05
166,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",marries,0.004097107797861099
167,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",marries,9.789684554561973e-05
168,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",marries,0.0008569071651436388
169,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",marries,0.00021949036454316229
170,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",is in love with,0.2469227910041809
171,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",is in love with,4.804097261512652e-05
172,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",is in love with,0.00031019916059449315
173,The Stranger,Sam Elliott,16431,The Dude,Jeff Bridges,1229,5,"[2, 2]",is in love with,0.0020486004650592804
174,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",is in love with,0.005278223659843206
175,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",is in couple with,0.051843807101249695
176,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",is in couple with,0.332060307264328
177,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",is in couple with,0.0001905204844661057
178,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",is in couple with,0.01246738899499178
179,Bunny Lebowski,Tara Reid,1234,The Dude,Jeff Bridges,1229,26,"[1, 2]",is in couple with,0.00046890939120203257
180,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",is in couple with,0.0029041364323347807
181,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",is in couple with,0.0007411057013086975
182,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",is the father of,0.02654062770307064
183,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",is the father of,8.643942419439554e-05
184,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",is the father of,0.038522057235240936
185,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",is the father of,0.0003203683882020414
186,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",is the father of,0.021237200126051903
187,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",is the father of,0.008570262230932713
188,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is the mother of,0.0237351655960083
189,Walter Sobchak,John Goodman,1230,Bunny,Tara Reid,1234,23,"[2, 1]",is the mother of,0.05982740968465805
190,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the mother of,4.982725840818603e-06
191,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",is the mother of,0.055752310901880264
192,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",is the mother of,4.623675704351626e-05
193,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is the mother of,0.029941922053694725
194,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is the mother of,0.013654991053044796
195,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",kisses,0.0003680817608255893
196,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",kisses,0.0004198739770799875
197,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",kisses,0.0033822173718363047
198,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",kisses,0.00037584532401524484
199,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",kisses,3.216474215150811e-05
200,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",sleeps with,0.005471952259540558
201,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",sleeps with,0.0001350763050140813
202,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",sleeps with,0.0006474694237112999
203,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",sleeps with,0.010717058554291725
204,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",sleeps with,7.331426604650915e-05
205,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",sleeps with,9.876835974864662e-05
206,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",goes on a date with,0.07095643877983093
207,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",goes on a date with,0.005168350413441658
208,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",goes on a date with,0.04504648968577385
209,Jackie Treehorn,Ben Gazzara,856,Maude,Julianne Moore,1231,30,"[2, 1]",goes on a date with,0.11807365715503693
210,Treehorn's thugs,Mark Pellegrino,1236,Maude,Julianne Moore,1231,5,"[2, 1]",goes on a date with,0.0015588324749842286
211,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",goes on a date with,0.004899142310023308
212,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",has sex with,0.05110330879688263
213,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",has sex with,0.0018582561751827598
214,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",has sex with,0.006226059049367905
215,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",has sex with,0.16092580556869507
216,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",has sex with,0.0005760084022767842
